deckname,modularity,value
The Simple Lords|The Former Hoping Valkyrie Trustees,0.28299643281807374,5.000000000000001
The Simple Lords|The Fire Breathers of the Heartseeker,0.4895999999999999,3.5769230769230775
The Simple Lords|The Mothers of the Plutonium Echo,0.5566666666666666,4.2967032967032965
The Simple Lords|The Hurting Demons Larvae,0.2152066115702479,7.938095238095237
The Simple Lords|The Aunts of Bleeding Brightsteel,0.3325,6.173076923076923
The Simple Lords|The Liches of Rebirth and Duskmaw,0.38525564803805,4.15934065934066
The Simple Lords|The Fortelling Aggravating Ticklers,0.3494809688581315,4.416666666666667
The Simple Lords|The Opening Sisters Liches,0.18944444444444442,7.279411764705881
The Simple Lords|Vindicators of Sobbing and Baking,0.6578449905482042,2.875
The Simple Lords|Sparky's Attentive Combatants,0.6006944444444444,3.711538461538462
The Simple Lords|The Raiders of Hound and Mask,0.23330255463219451,7.433333333333334
The Simple Lords|The Serious Silver Soldiers,0.5493827160493827,3.600000000000001
The Simple Lords|The Sorcerers of the Oratek Eruptor,0.2666364870982345,6.776190476190477
The Simple Lords|The Sixth Barb Band,0.33959183673469384,4.800000000000002
The Simple Lords|The Masters of Swearing,0.3675213675213675,4.499999999999997
The Simple Lords|The Quantums of Metal and Faith,0.39298758217677143,4.666666666666667
The Simple Lords|The Overseers of Sparky,0.34958382877526756,5.272727272727272
The Simple Lords|Doctors of Tatoo and Comparing,0.3093564088696593,6.00952380952381
The Simple Lords|The Savants of the Ending Predator,0.38501560874089485,4.7252747252747245
The Simple Lords|The Host of the Confident Miracles,0.4042806183115339,4.711538461538462
The Simple Lords|The King Varna Generals,0.19266528925619836,6.8076923076923075
The Simple Lords|The Pondering Iron Advisers,0.4085872576177285,5.085714285714286
The Simple Lords|The Raiders of Leading Capitals,0.44536271808999084,4.428571428571429
The Simple Lords|The Monks of the Great Quitting Fire,0.4693877551020408,3.5
The Simple Lords|The Senseis who became Champs,0.26937500000000003,5.923076923076923
The Simple Lords|The Protectors of the Saving Herbs,0.3801020408163266,4.33974358974359
The Simple Lords|The Crossing Soul Hags,0.32408163265306117,5.038461538461538
The Simple Lords|The Professing Watchdogs,0.5075000000000001,3.333333333333334
The Simple Lords|The Group of Brass Conspiracies,0.24888888888888888,6.090476190476191
The Simple Lords|The Squadron of the Fire,0.4363852556480381,4.461538461538462
The Simple Lords|The Imps of Descending Chiron,0.3200692041522492,4.98901098901099
The Fire Breathers of the Heartseeker|The Tentacles of the Diseased Bone,0.24380165289256195,6.0809523809523816
The Fire Breathers of the Heartseeker|The Sentrys of Failure Faith,0.4713839750260145,3.9963235294117645
The Fire Breathers of the Heartseeker|The Omnivore Brutish Herders,0.4234693877551021,3.5208333333333335
The Fire Breathers of the Heartseeker|The Simple Lords,0.38882282996432826,4.170329670329671
The Fire Breathers of the Heartseeker|Army of Alpha and Curing,0.3977777777777778,3.9250000000000003
The Fire Breathers of the Heartseeker|The Mothers of the Plutonium Echo,0.5562130177514794,3.0992647058823524
The Fire Breathers of the Heartseeker|The Hurting Demons Larvae,0.22117202268431002,6.133333333333333
The Fire Breathers of the Heartseeker|The Aunts of Bleeding Brightsteel,0.3581267217630854,4.495238095238095
The Fire Breathers of the Heartseeker|The Liches of Rebirth and Duskmaw,0.3288888888888889,4.313186813186812
The Fire Breathers of the Heartseeker|The Opening Sisters Liches,0.20099173553719005,6.34640522875817
The Fire Breathers of the Heartseeker|Brigade of Druid and Weird,0.44234404536861993,3.6538461538461533
The Fire Breathers of the Heartseeker|Sparky's Attentive Combatants,0.5086805555555556,3.016666666666667
The Fire Breathers of the Heartseeker|The Raiders of Hound and Mask,0.2544,6.604166666666668
The Fire Breathers of the Heartseeker|The Serious Silver Soldiers,0.396694214876033,3.175824175824176
The Fire Breathers of the Heartseeker|The Farmers of the Spiky Tunnels,0.484764542936288,2.7307692307692304
The Fire Breathers of the Heartseeker|The Sixth Barb Band,0.2986317668054729,4.933823529411764
The Fire Breathers of the Heartseeker|The Quantums of Metal and Faith,0.30612244897959173,4.676190476190476
The Fire Breathers of the Heartseeker|The Phalanx of Everflow Treefolk,0.46831955922865015,3.7287581699346406
The Fire Breathers of the Heartseeker|The Champions of the Whisker,0.27444444444444444,5.1893939393939394
The Fire Breathers of the Heartseeker|The Overseers of Sparky,0.33280000000000004,3.692307692307692
The Fire Breathers of the Heartseeker|The Savants of the Ending Predator,0.4027055150884495,4.185714285714286
The Fire Breathers of the Heartseeker|The Hermit Spiders,0.37860082304526743,4.023809523809525
The Fire Breathers of the Heartseeker|The King Varna Generals,0.2498512790005949,5.391666666666667
The Fire Breathers of the Heartseeker|The Pondering Iron Advisers,0.40570934256055363,3.862745098039215
The Fire Breathers of the Heartseeker|The Company of Botany,0.5204081632653061,3.7619047619047623
The Fire Breathers of the Heartseeker|The Raiders of Leading Capitals,0.3755555555555556,3.7666666666666666
The Fire Breathers of the Heartseeker|The Mice of the Fierce Fur,0.36989795918367346,4.065934065934066
